time,x,y,z
7877,-0.010941327,8.972734E-5,0.054115295
7897,0.011602044,0.014404662,0.074466705
7915,0.014716268,0.013158411,0.052931786
7935,0.025900185,0.0014139041,0.048145294
7954,0.011482775,-0.0067170337,0.06371021
7973,-0.0028976798,-0.008000165,0.04695511
7991,-0.012350857,-6.8186224E-4,0.042160034
8011,-0.012225151,0.007756084,0.05532074
8030,-2.7489662E-4,0.0028050467,0.06250286
8048,0.008002937,0.008902557,0.055329323
8068,0.021089733,0.0010458082,0.058924675
8086,0.020894587,-0.0028490648,0.05055809
8106,0.0040441155,-0.0076530725,0.050563812
8124,-0.0104298,-0.002900757,0.05057144
8144,-0.010366976,0.005305633,0.058944702
8164,-0.0057550073,4.7507882E-4,0.060152054
8182,0.0060610175,4.9355626E-4,0.04938793
8201,0.012047172,0.009820074,0.057765007
8220,0.010913432,3.6530942E-4,0.06015396
8239,0.012111902,-0.008227967,0.055366516
8258,1.1694431E-4,-0.0070053637,0.057761192
8277,-0.0070675015,0.0026367381,0.062550545
8297,-0.009398341,0.008688092,0.06015396
8316,-0.004675746,0.0076033846,0.06135559
8335,0.0049208403,0.00754866,0.050580025
8354,0.010852814,-0.0032563806,0.0565691
8373,0.014487267,4.1041523E-4,0.052975655
8392,0.0050420165,-0.0030381307,0.03621006
8410,-0.012844741,-0.0020538121,0.057750702
8431,-0.006852746,1.8677115E-4,0.070916176
8449,0.0063418746,-0.0035050958,0.043382645
8468,0.008702159,0.002376847,0.052960396
8487,0.007588744,0.011763163,0.05893898
8505,0.001588285,0.0023046732,0.05175686
8525,-0.0043374896,0.0046496466,0.050557137
8544,-0.0030852556,-0.0025188103,0.057735443
8563,-0.001950264,-0.005006179,0.04935932
8583,-0.003092587,-0.002704516,0.049355507
8601,0.01242578,0.0036012307,0.06492138
8621,0.017157614,0.001270555,0.058939934
8639,3.8933754E-4,-0.0011922121,0.057743073
8658,-0.004453182,-0.0023688674,0.054156303
8678,-8.1300735E-4,-0.0057626218,0.055353165
8697,0.0028159022,-0.005793005,0.04816723
8716,0.0061534643,-0.002295807,0.06134987
8734,0.005151987,0.008404061,0.055351257
8753,0.00259161,0.0047031194,0.05415535
8773,0.0052244663,-0.00956396,0.05175686
8792,-6.0611963E-4,-0.014244996,0.051747322
8811,-0.008970439,1.3305247E-4,0.052944183
8830,0.001844883,0.0025836155,0.060124397
8849,0.0067183375,0.0049776062,0.05413437
8868,0.007733941,0.012079522,0.054133415
8887,0.0042166114,-0.006972827,0.063715935
8906,0.005389631,-0.011593938,0.052947044
8925,-0.011406362,-0.00678692,0.04696369
8945,0.0015044212,0.013538934,0.05294609
8964,0.010202825,4.1602552E-4,0.06252098
8982,0.014811873,0.016820833,0.05173683
9001,0.004255891,-0.0020529404,0.07448864
9021,-0.007635534,0.011058837,0.037365913
9040,-0.005093217,-0.022385929,0.05891323
9059,6.350279E-4,0.008890569,0.03736496
9078,0.01035887,-0.007836066,0.061315536
9097,0.00788039,-0.001611419,0.044555664
9115,0.017057598,-0.013533749,0.05774498
9135,-0.012787461,0.001680918,0.03978443
9153,0.0051441193,0.0073531196,0.05534458
9173,5.580187E-4,0.0038718656,0.058924675
9192,0.01123333,0.007452436,0.05653572
9211,0.0099980235,-7.8985095E-4,0.044569016
9230,-0.004475057,0.009858884,0.06372738
9249,-0.0019350052,-0.010444634,0.05056095
9268,-0.005520344,-0.005676776,0.050559998
9287,0.005114794,0.005039476,0.052962303
9306,0.0076491237,0.0061724856,0.06133175
9325,0.017225385,-0.0036685243,0.054148674
9344,0.010061324,-0.004838124,0.049358368
9363,-6.623268E-4,-0.0036137328,0.05653858
9383,-0.0018641353,-0.008432217,0.057735443
9401,-0.0019276738,-0.004873924,0.044570923
9420,0.0040941834,0.002191253,0.062524796
9440,0.004074931,0.006980546,0.06132698
9459,-6.0915947E-4,-2.4747103E-4,0.046957016
9478,-0.007724762,-0.007576093,0.051739693
9496,0.0042230487,8.0783665E-4,0.05413437
9516,0.003916323,0.016337715,0.049337387
9535,0.012450576,0.018778652,0.06010914
9554,0.023094356,0.016764417,0.06370926
9573,0.01845324,0.0070357546,0.061315536
9592,-0.006420076,-0.018155552,0.048143387
9611,-0.009993076,-0.01683721,0.05173397
