time,x,y,z,absolute
2.087524958E0,1.378240578E-2,3.732769968E-3,-3.765665352E-2,4.027296656E-2
2.097479958E0,1.097405662E-2,7.499259640E-3,-3.046867132E-2,3.324167183E-2
2.107435958E0,1.099932756E-2,-1.661511452E-4,-3.854776919E-2,4.008669757E-2
2.117390958E0,8.536836638E-3,2.117597699E-3,-5.994916320E-2,6.059095616E-2
2.127345958E0,1.201964156E-2,1.006263102E-2,-6.832880795E-2,7.010388236E-2
2.137301958E0,2.051913596E-2,6.776575763E-3,-6.937545955E-2,7.266299820E-2
2.147256958E0,3.005765546E-2,2.267637025E-3,-7.132375181E-2,7.743179193E-2
2.157211958E0,1.336889343E-2,4.209104483E-4,-7.836321473E-2,7.949652760E-2
2.167166958E0,1.588087554E-2,-4.173877293E-3,-5.621337712E-2,5.856250700E-2
2.177122958E0,1.284351425E-2,-1.121977901E-3,-4.469143867E-2,4.651386227E-2
2.187077958E0,9.200817668E-3,5.513932355E-3,-5.457381785E-2,5.561798352E-2
2.197032958E0,4.059931962E-5,5.417395053E-3,-5.846864820E-2,5.871909944E-2
2.206988958E0,8.348115468E-3,5.324789775E-3,-6.460880935E-2,6.536315984E-2
2.216943958E0,9.675602443E-3,3.355776449E-4,-4.440317094E-2,4.544635832E-2
2.226898958E0,1.627034807E-2,-8.257204969E-4,-4.051360309E-2,4.366644107E-2
2.236854958E0,9.899278998E-3,9.213643855E-3,-4.590356648E-2,4.785419912E-2
2.246809958E0,7.633581148E-3,5.101983449E-3,-5.219166219E-2,5.299312596E-2
2.256764958E0,1.052796660E-2,1.961861907E-3,-5.099473715E-2,5.210710316E-2
2.266719958E0,3.947437014E-3,3.516738190E-3,-4.979781210E-2,5.007765766E-2
2.276675958E0,1.018774544E-2,1.433973679E-3,-4.830209434E-2,4.938561284E-2
2.286630958E0,1.533870161E-2,2.999532551E-3,-5.459019005E-2,5.678346425E-2
2.296585958E0,1.461745441E-2,7.539756177E-4,-6.267396569E-2,6.436042595E-2
2.306541958E0,1.948517465E-2,-5.772764152E-3,-4.620996058E-2,5.048125686E-2
2.316496958E0,1.711125077E-2,-1.108533873E-3,-5.145023525E-2,5.423237462E-2
2.326451958E0,1.088712040E-2,4.615417449E-5,-4.426517665E-2,4.558439848E-2
2.336407958E0,-2.829604698E-3,-6.547652702E-3,-5.055210292E-2,5.105285035E-2
2.346362958E0,-2.601364574E-3,-6.387923216E-4,-4.471424282E-2,4.479440438E-2
2.356317958E0,7.980056084E-3,7.042804516E-3,-6.237692714E-2,6.327845944E-2
2.366273958E0,1.784561994E-2,5.090279882E-3,-5.085089564E-2,5.413123579E-2
2.376228958E0,1.322839580E-2,5.808397906E-3,-4.351497889E-2,4.585064153E-2
2.386183958E0,1.184232475E-2,4.112645981E-3,-5.309447229E-2,5.455435363E-2
2.396138958E0,5.359404834E-3,2.032723994E-3,-5.414112389E-2,5.444370012E-2
2.406094958E0,9.559715653E-3,5.756489021E-3,-4.650641441E-2,4.782647709E-2
2.416049958E0,1.177019158E-2,-8.708091534E-4,-5.967843711E-2,6.083429604E-2
2.426004958E0,1.071944464E-2,-1.767579031E-3,-6.132501304E-2,6.227991694E-2
2.435961125E0,1.507493280E-2,-8.841634174E-3,-5.623676598E-2,5.888974394E-2
2.445916125E0,1.736185878E-2,3.258211316E-3,-5.668700159E-2,5.937563667E-2
2.455871125E0,1.343103380E-2,6.480374319E-3,-4.905346155E-2,5.127016687E-2
2.465827125E0,3.459219632E-3,9.519776430E-3,-6.312420130E-2,6.393165987E-2
2.475782125E0,3.210948226E-3,1.384538440E-2,-4.052061975E-2,4.294095344E-2
2.485737125E0,5.132021236E-3,1.546349741E-2,-4.740688562E-2,5.012853677E-2
2.495692125E0,1.633657236E-4,9.400942050E-3,-4.216719568E-2,4.320274055E-2
2.505648125E0,4.165106469E-3,9.409832787E-3,-8.033781946E-2,8.099418683E-2
2.515603125E0,1.041770547E-2,-2.488241508E-4,-6.447139978E-2,6.530813036E-2
2.525558125E0,1.240805657E-2,8.627212665E-4,-4.576147914E-2,4.742169471E-2
2.535514125E0,2.092539183E-2,5.172593147E-3,-4.217011929E-2,4.735975827E-2
2.545469125E0,2.282965181E-2,-3.391912698E-3,-6.507249355E-2,6.904438783E-2
2.555424125E0,1.585566171E-2,-4.097648787E-3,-6.971284389E-2,7.161056722E-2
2.565380125E0,1.516124547E-2,1.749465225E-3,-4.037326992E-2,4.316161392E-2
2.575335125E0,8.216212790E-3,2.591053146E-3,-4.531182826E-2,4.612354593E-2
2.585290125E0,-4.115823121E-4,6.260774826E-3,-4.531124353E-2,4.574358416E-2
2.595246125E0,-2.346172440E-3,4.958001474E-3,-7.030867517E-2,7.052230929E-2
2.605201125E0,9.425250250E-3,1.036099319E-2,-5.698520958E-2,5.868133974E-2
2.615156125E0,1.715862692E-2,-8.728605896E-3,-5.354119956E-2,5.689698665E-2
2.625111125E0,1.454750481E-2,-5.947914527E-3,-3.812209189E-2,4.123471200E-2
2.635067125E0,2.470910223E-2,-5.606150483E-3,-4.964578450E-2,5.573753291E-2
2.645022125E0,8.442146005E-3,7.196658236E-3,-6.191792071E-2,6.290382042E-2
2.654977125E0,1.287826407E-4,2.891349925E-3,-5.592920244E-2,5.600403713E-2
2.664933125E0,-1.215446556E-3,4.846950058E-3,-4.874297440E-2,4.899844680E-2
2.674888125E0,-4.523438006E-4,1.488888627E-2,-4.455110550E-2,4.697536110E-2
2.684843125E0,1.038378477E-2,8.190418803E-3,-6.610569656E-2,6.741564406E-2
2.694799125E0,1.448286110E-2,6.371578421E-3,-6.056721389E-2,6.259982169E-2
2.704754125E0,2.809220528E-2,2.229550180E-3,-5.922001541E-2,6.558317708E-2
2.714709125E0,2.773517109E-2,2.756809148E-3,-4.904176712E-2,5.640863972E-2
2.724665125E0,2.848882237E-2,-1.303777771E-2,-6.161561966E-2,6.912366624E-2
2.734620125E0,1.422501944E-2,-1.170164782E-2,-5.383239090E-2,5.689645024E-2
2.744575125E0,2.449213627E-3,-1.363393675E-3,-4.964110672E-2,4.972018671E-2
2.754530125E0,8.043585168E-3,-4.618400442E-3,-4.993989944E-2,5.079392131E-2
