time,x,y,z,absolute
6.345711583E0,5.174471565E-2,-7.429114066E-2,-3.158566493E-1,3.285758848E-1
6.355668583E0,4.442177240E-2,-6.007962920E-2,-2.286758333E-1,2.405732580E-1
6.365626583E0,-1.169443130E-3,-3.801304132E-2,-1.779448056E-1,1.819634929E-1
6.375583583E0,-1.977312718E-2,-6.014562964E-2,-1.349040359E-1,1.490220528E-1
6.385541583E0,2.583687253E-2,-9.189199068E-2,-8.887650847E-2,1.304251344E-1
6.395498583E0,2.361094717E-2,-1.059021387E-1,-4.671106696E-2,1.181298589E-1
6.405456583E0,1.671938226E-4,-1.226069029E-1,-2.048630476E-2,1.243067547E-1
6.415413583E0,-8.444366120E-3,-1.034184607E-1,3.400214374E-2,1.091917172E-1
6.425371583E0,-3.579643495E-2,-6.965817243E-2,6.043097377E-2,9.892193049E-2
6.435328583E0,-4.533645965E-2,-5.913018756E-2,7.045894861E-2,1.025487060E-1
6.445286583E0,-4.520416640E-2,-2.964450628E-2,2.510268152E-2,5.960166131E-2
6.455243583E0,-4.788511477E-2,-5.914677903E-3,-4.831671238E-2,6.828229878E-2
6.465201583E0,-5.133318130E-2,-1.398149662E-2,-5.057315290E-2,7.340450629E-2
6.475158583E0,-1.916125260E-2,-3.285265423E-2,-1.294222713E-2,4.017401815E-2
6.485116583E0,4.517270107E-2,-1.725279450E-2,-6.489064515E-2,8.092606297E-2
6.495073583E0,-1.074948471E-2,-7.314135879E-3,-4.119421899E-2,4.319735737E-2
6.505031583E0,-3.129247092E-3,2.211687393E-2,-5.955915391E-2,6.361007086E-2
6.514988583E0,2.624186531E-2,-9.515174031E-3,-6.736635625E-2,7.292050457E-2
6.524946583E0,9.098760914E-2,-2.599460118E-2,-3.097854853E-2,9.956974830E-2
6.534903583E0,1.014180917E-1,-2.025877498E-2,-4.365823567E-2,1.122590256E-1
6.544861583E0,1.033735468E-1,-1.811708607E-2,-4.150704503E-2,1.128589995E-1
6.554818583E0,8.998444621E-2,-2.073247254E-2,-2.430862963E-2,9.548793354E-2
6.564776583E0,1.523587056E-2,-9.997203872E-3,-1.427305341E-2,2.314726529E-2
6.574733583E0,-2.938580353E-2,-2.645053782E-2,-2.142185926E-2,4.496723756E-2
6.584691583E0,-4.210737135E-2,-4.189252272E-2,-2.974770963E-2,6.642996621E-2
6.594648583E0,-4.881708786E-2,-3.622065045E-2,-4.105622470E-2,7.335296295E-2
6.604606583E0,-5.715788517E-2,-6.216555029E-2,-9.748536408E-2,1.289766478E-1
6.614563583E0,1.050821397E-2,-1.109670699E-1,-1.122449058E-1,1.581867000E-1
6.624521583E0,6.098181803E-2,-9.231328256E-2,-8.646979451E-2,1.404191925E-1
6.634478583E0,2.584878623E-2,-3.197542571E-2,-6.819841504E-2,7.963423518E-2
6.644436583E0,-2.621135015E-2,4.039548934E-3,-7.012448788E-2,7.497197231E-2
6.654393583E0,-3.491409011E-2,-2.885462053E-2,-1.022906059E-1,1.118702412E-1
6.664351583E0,-1.589035671E-2,-5.052447483E-2,-1.228190106E-1,1.337525153E-1
6.674308583E0,2.712059218E-2,-6.267667003E-2,-1.031238341E-1,1.236867683E-1
6.684266583E0,4.562830880E-2,-4.447750367E-2,-8.554593444E-2,1.066691042E-1
6.694223583E0,7.476871200E-2,-1.601954363E-2,-9.353264630E-2,1.208111832E-1
6.704181583E0,7.412888043E-2,-3.539611995E-3,-7.181725681E-2,1.032731240E-1
6.714138583E0,7.986624151E-2,9.838305786E-3,-5.713314414E-3,8.067249070E-2
