"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.672010333E0,-7.585408166E-4,1.121838926E-3,2.444429789E-3,2.794484521E-3
2.681967333E0,-2.636398189E-3,-2.157710493E-3,9.834207594E-5,3.408222578E-3
2.691923333E0,-2.579140011E-3,-1.271143905E-3,1.878244802E-4,2.881501008E-3
2.701880333E0,1.316290931E-3,-1.049356651E-4,-1.548777334E-3,2.035275053E-3
2.711836333E0,1.610037638E-3,-9.135354776E-5,1.621982083E-3,2.287223763E-3
2.721793333E0,4.302153829E-4,1.088350313E-3,-3.273147158E-4,1.215206403E-3
2.731750333E0,-1.172741177E-3,-7.279254496E-4,5.528598558E-4,1.486893186E-3
2.741706333E0,9.004588937E-4,-3.256619675E-5,-1.747355331E-3,1.965995277E-3
2.751663333E0,-2.746740123E-3,1.946428791E-3,1.725172624E-4,3.370894325E-3
2.761619333E0,-4.142008256E-4,-7.013155264E-4,-1.702105161E-3,1.886946679E-3
2.771576333E0,1.438560314E-3,-3.290055902E-4,-1.976853237E-4,1.488885469E-3
2.781533333E0,-1.765285386E-3,8.090435294E-4,-1.731817611E-4,1.949557860E-3
2.791489333E0,3.990654368E-4,6.069528172E-5,-1.042704098E-3,1.118109555E-3
2.801446333E0,2.919952385E-4,1.715773833E-3,6.442749873E-5,1.741634855E-3
2.811402333E0,-1.247311942E-3,-5.828004796E-4,-1.277006697E-3,1.877815109E-3
2.821359333E0,-9.116232395E-4,-1.570698456E-3,-5.433247425E-4,1.895613976E-3
2.831316333E0,-3.795237280E-4,-5.115594249E-4,-3.638276830E-4,7.335542845E-4
2.841272333E0,-6.899824366E-4,4.384393978E-4,-1.435568091E-3,1.652017134E-3
2.851229333E0,1.494075870E-3,-1.198339392E-3,-1.512000803E-3,2.440169345E-3
2.861185333E0,1.274799695E-3,-8.648327785E-4,7.269058842E-4,1.703362017E-3
2.871142333E0,5.810462171E-4,-1.336212270E-3,1.104275696E-3,1.828251282E-3
2.881099333E0,-1.965369331E-3,-4.098562058E-4,-1.032903790E-3,2.257775223E-3
2.891055333E0,9.704992408E-4,-7.003685459E-5,1.527355053E-4,9.849375980E-4
2.901012333E0,-4.506600089E-5,-7.129726582E-4,-1.213932410E-5,7.144986487E-4
2.910968333E0,-1.921795309E-3,-2.291428391E-3,-1.522214152E-4,2.994513757E-3
2.920925333E0,-2.440887038E-4,7.502463413E-4,-1.415182371E-3,1.620243812E-3
2.930882333E0,-1.460620668E-3,-4.470726708E-5,1.350776758E-3,1.989977217E-3
2.940838333E0,1.534191309E-3,-7.128887810E-4,1.191482879E-4,1.695921491E-3
